title,firm,genre,num_of_reviews,price,stars,description_lenght,PEGI
BATTLESHIP APOLLO,Parallel Space Inc,Strategie,0,n/a,0.0,3955,3
古鏡記（Tales of the Mirror）,LilithGames,Łamigłówki,0,n/a,0.0,1748,12
Fabryka ciastek dla chomików - gra potentatów,"mafgames (Idle Games, Tycoon Games)",Symulacyjne,0,n/a,0.0,853,3
KonoSuba: Fantastic Days,NEXON Company,Fabularne,0,n/a,0.0,8153,12
My Time at Portia,Nuverse,Symulacyjne,0,n/a,0.0,3731,7
Drop Battle : 1v1 PVP,SUPERBOX.INC,Łamigłówki,0,n/a,0.0,1581,3
Pocket Dungeon,X-Land,Symulacyjne,0,n/a,0.0,2020,7
PAW Patrol Rescue World,Budge Studios,Rekreacyjne,0,n/a,0.0,6091,3
Metal Revolution,YOUZU(SINGAPORE)PTE.LTD.,Zręcznościowe,0,n/a,0.0,3540,12
Doomsday: Last Survivors,SkyRise Digital Pte. Ltd.,Strategie,0,n/a,0.0,3106,12
Cave Shooter,EYOUGAME(USS),Przygodowe,0,n/a,0.0,5053,12
EZ Knight,LTGAMES GLOBAL,Fabularne,0,n/a,0.0,3331,12
Modern Dead,ONEMT,Strategie,0,n/a,0.0,5708,12
Mystic Gunner: Roguelike Shooting Action Adventure,"Buff Studio (Story Games, Calm Games)",Akcja,0,n/a,0.0,7270,7
Hello Kitty - Merge Town,FunCraft Games,Łamigłówki,0,n/a,0.0,3113,3
그림자 기사단 : 방치형 RPG 게임,CookApps,Fabularne,0,n/a,0.0,2174,3
Northgard,Playdigious,Strategie,0,n/a,0.0,3122,7
유미의 세포들 더 퍼즐,LICO Corp.,Rekreacyjne,0,n/a,0.0,1100,3
Legions War: Art of Strategy,DIVMOB,Strategie,0,n/a,0.0,226,3
DRAGON QUEST The Adventure of Dai: A Hero's Bonds,"SQUARE ENIX Co.,Ltd.",Fabularne,0,n/a,0.0,7706,7
Sky Warriors: Blazing Clouds,Wildlife Studios,Akcja,0,n/a,0.0,825,7
SCOPA ClubDelGioco - Gioco di Carte Online Gratis,MegaJogos,Karciane,0,n/a,0.0,2066,3
Jackal Squad - Tank Hero & Pixel World War,OneSoft Global PTE. LTD.,Przygodowe,0,n/a,0.0,2614,3
Love Fantasy: Romance Episode,Games Hub Hong Kong Limited,Symulacyjne,0,n/a,0.0,3324,18
Haydos 380,Creative Monkey Games,Sport,0,n/a,0.0,413,3
Grow Archer Chaser - Idle RPG,SUPERBOX.INC,Symulacyjne,0,n/a,0.0,1176,3
Miasteczko Małej Pandy: Życie,BabyBus,Edukacyjne,75420,Zainstaluj,4.2,2363,3
Świat Małej Pandy,BabyBus,Edukacyjne,262463,Zainstaluj,4.3,2907,3
Dom zabaw dla dzieci Małej Pandy,BabyBus,Edukacyjne,12172,Zainstaluj,4.1,2323,3
Candy Crush Friends Saga,King,Rekreacyjne,1704818,Zainstaluj,4.6,5190,3
Mała Panda: Opieka nad zwierzętami,BabyBus,Edukacyjne,21315,Zainstaluj,4.1,2363,3
Pet Rescue Saga,King,Rekreacyjne,3474438,Zainstaluj,4.6,3754,3
Talking Tom Hero Dash - Run Game,Outfit7 Limited,Akcja,1032987,Zainstaluj,4.3,7319,7
